Epoch,Train Loss,Validation AUPRC
1,0.614402881080698,0.7782106966511729
2,0.29982563054704403,0.7541793156423647
3,0.2607329145714592,0.7635742387887636
4,0.2398633149712372,0.7591696819324601
5,0.22162926665603994,0.76727857674157
6,0.22410687248877975,0.7641882865962012
