Epoch,Train Loss,Validation AUPRC
1,0.5633163890877777,0.7313414603787374
2,0.32240776359521905,0.7542486877737169
3,0.26379673299833245,0.7471077170437916
4,0.23887475328091473,0.7689178203596829
5,0.21293146540186492,0.7119969571544935
6,0.18744122908447655,0.7588967385150374
7,0.16851135546137153,0.7719620953082686
8,0.1822192341695269,0.7641773542768523
9,0.18824642385242313,0.75971176003183
10,0.1380686628063842,0.7627052117524
11,0.13473013974954168,0.7624262985514337
12,0.12475232575713222,0.7699387887875256
