Model,Threshold,Precision,Recall,F1,AUPRC
SmallMLP,0.9814618229866028,0.7971014492753623,0.7432432432432432,0.7692307692307693,0.6841982783525539
DeepMLP,0.9753533005714417,0.7468354430379747,0.7972972972972973,0.7712418300653595,0.6484194455534867
